aX,aY,aZ,gX,gY,gZ
0.272,-1.297,0.457,69.519,-38.818,12.39
0.257,-1.252,0.48,65.063,-39.307,18.494
0.266,-1.249,0.483,62.073,-38.452,25.94
0.298,-1.223,0.468,51.88,-34.729,41.26
0.299,-1.164,0.462,47.791,-32.959,48.157
0.298,-1.134,0.472,46.326,-31.189,54.138
0.295,-1.102,0.48,47.424,-28.931,59.082
0.287,-1.064,0.489,51.575,-26.306,63.477
0.283,-1.036,0.474,57.678,-22.278,67.627
0.29,-1.022,0.44,66.406,-16.968,71.96
0.298,-1.019,0.404,76.233,-12.085,76.233
0.307,-1.027,0.391,80.933,-9.827,78.796
0.324,-1.022,0.389,79.468,-9.766,80.139
0.324,-1,0.385,74.951,-11.658,79.773
0.338,-0.985,0.378,71.533,-13.672,79.163
0.332,-0.975,0.375,70.618,-15.076,78.735
0.319,-0.951,0.349,71.411,-15.32,78.003
0.335,-0.965,0.318,73.364,-15.32,77.087
0.346,-0.977,0.297,72.449,-16.724,76.538
0.36,-0.954,0.307,69.275,-19.104,75.745
0.362,-0.963,0.354,68.054,-21.667,74.829
0.376,-0.964,0.375,68.237,-23.071,73.853
0.375,-0.956,0.362,67.383,-23.071,72.876
0.387,-0.94,0.318,66.345,-22.339,72.144
0.396,-0.945,0.28,66.04,-21.545,72.144
0.416,-0.954,0.24,64.636,-22.156,71.655
0.426,-0.962,0.238,60.181,-23.926,70.679
0.414,-0.94,0.252,52.368,-26.611,70.19
0.406,-0.922,0.281,43.518,-29.48,69.763
0.398,-0.862,0.295,36.682,-30.579,68.359
0.385,-0.816,0.274,35.156,-29.846,68.115
0.377,-0.789,0.262,35.767,-28.625,67.383
0.373,-0.791,0.234,37.964,-27.649,67.017
0.402,-0.808,0.221,37.415,-26.733,67.139
0.408,-0.784,0.21,35.339,-26.672,65.674
0.415,-0.772,0.195,35.034,-26.794,62.622
0.423,-0.784,0.186,38.33,-25.818,62.195
0.424,-0.789,0.178,42.114,-23.804,62.256
0.429,-0.789,0.168,45.532,-21.667,60.974
0.429,-0.777,0.173,49.438,-20.203,58.838
0.421,-0.775,0.172,51.636,-18.921,56.641
0.429,-0.792,0.166,51.88,-18.005,54.321
0.436,-0.797,0.161,50.72,-18.494,51.575
0.439,-0.815,0.154,47.607,-18.799,49.072
0.461,-0.801,0.15,43.396,-19.531,46.936
0.465,-0.807,0.134,38.757,-21.545,45.532
0.468,-0.805,0.135,32.227,-24.353,43.274
0.46,-0.774,0.144,26.733,-26.428,40.039
0.463,-0.762,0.141,24.658,-27.283,37.354
0.472,-0.755,0.135,22.461,-27.527,34.607
0.469,-0.754,0.13,20.02,-27.954,30.945
0.475,-0.738,0.136,18.433,-28.198,27.405
0.472,-0.724,0.158,19.348,-27.71,25.33
0.462,-0.72,0.182,20.813,-26.672,23.315
0.466,-0.731,0.183,22.888,-25.085,21.057
0.489,-0.763,0.182,24.292,-23.987,19.165
0.497,-0.768,0.176,24.17,-22.888,16.479
0.504,-0.76,0.155,23.682,-22.4,14.16
0.5,-0.754,0.153,21.667,-21.973,12.573
0.495,-0.733,0.153,19.348,-21.667,9.766
0.523,-0.741,0.156,18.25,-21.362,8.24
0.524,-0.756,0.141,17.944,-21.057,6.653
0.531,-0.775,0.132,17.578,-20.691,5.737
0.533,-0.804,0.139,16.541,-20.142,4.639
0.542,-0.814,0.151,13.611,-18.738,2.991
0.533,-0.811,0.175,11.963,-17.334,2.38
0.531,-0.814,0.196,11.353,-15.381,2.014
0.533,-0.818,0.191,11.292,-12.939,2.136
0.536,-0.817,0.196,11.23,-10.864,2.258
0.538,-0.818,0.207,9.949,-9.766,2.258
0.537,-0.831,0.207,6.958,-9.094,1.831
0.549,-0.841,0.208,1.77,-9.033,1.77
0.558,-0.832,0.2,-4.456,-9.583,1.343
0.564,-0.812,0.202,-10.193,-10.62,0.732
0.561,-0.772,0.21,-11.597,-11.23,-0.183
0.55,-0.769,0.198,-8.545,-10.925,-1.282
0.579,-0.783,0.139,-4.395,-10.071,-2.869
