aX,aY,aZ,gX,gY,gZ
1.04,0.441,-0.037,6.714,-12.939,-128.235
1.083,0.394,-0.021,10.193,-9.766,-117.31
1.093,0.363,0.001,12.573,-7.019,-102.905
1.091,0.315,0.01,13.062,-4.944,-86.243
1.078,0.265,0.021,13.977,-3.113,-68.848
1.06,0.224,0.053,13.245,-1.709,-53.04
1.063,0.19,0.034,6.775,-1.465,-39.063
1.07,0.153,0.027,3.174,-0.549,-26.245
1.068,0.112,0.014,0.183,1.343,-16.479
1.053,0.065,0.003,-2.686,4.822,-10.986
1.011,0.006,-0.005,-4.517,9.338,-12.207
1.038,0.258,0.004,-5.127,14.465,-18.921
1.019,0.155,0.026,-6.836,16.174,-7.202
0.976,0.068,0.002,-9.46,13.489,1.221
0.937,0.051,-0.009,-7.385,11.353,0.61
0.937,0.066,-0.028,-8.179,11.963,-4.883
0.952,0.092,-0.025,-7.446,13.916,-9.155
0.946,0.082,-0.013,-6.165,14.282,-11.353
0.949,0.082,-0.014,-4.639,12.39,-13.367
0.959,0.109,-0.028,-3.235,9.46,-15.259
0.962,0.128,-0.036,-2.136,7.812,-15.32
0.956,0.131,-0.034,-1.465,7.263,-13.733
0.954,0.134,-0.028,-1.343,6.714,-11.841
0.959,0.138,-0.026,-1.526,5.798,-9.094
0.976,0.137,-0.027,-1.831,4.578,-5.859
0.994,0.132,-0.03,-1.953,3.357,-2.625
1.007,0.131,-0.03,-2.014,2.38,0.61
1.016,0.122,-0.031,-1.77,1.221,3.052
1.014,0.112,-0.031,-1.404,0.305,4.333
1.009,0.107,-0.032,-0.977,-0.366,4.7
1.007,0.107,-0.036,-0.427,-0.427,4.15
1.009,0.113,-0.036,0.244,0.061,2.93
1.012,0.117,-0.033,1.16,0.488,1.526
1.012,0.121,-0.028,1.953,0.366,0.366
1.009,0.122,-0.026,3.052,-0.061,-0.427
1.004,0.123,-0.026,3.479,-0.732,-0.793
1.003,0.125,-0.029,3.845,-1.221,-0.549
1.005,0.13,-0.033,3.845,-1.343,0
1.009,0.133,-0.036,3.54,-1.343,0.854
1.01,0.137,-0.038,3.113,-1.038,1.953
1.009,0.136,-0.041,2.441,-0.427,3.235
1.006,0.131,-0.042,1.892,0.183,4.578
1.001,0.127,-0.042,1.343,0.793,5.432
0.998,0.129,-0.043,0.671,1.648,5.615
0.994,0.133,-0.044,-0.183,2.625,5.31
0.989,0.137,-0.042,-0.793,3.418,4.15
0.986,0.138,-0.037,-1.099,3.967,3.052
0.984,0.139,-0.034,-1.16,3.845,2.197
0.985,0.136,-0.032,-0.977,3.174,1.099
0.986,0.136,-0.034,-0.977,2.38,0.244
0.99,0.134,-0.035,-0.916,1.465,-0.366
0.99,0.134,-0.033,-0.793,0.732,-0.854
0.989,0.132,-0.032,-1.16,0.244,-1.221
0.99,0.131,-0.033,-1.221,-0.305,-1.099
0.995,0.13,-0.031,-1.343,-0.61,-0.793
0.995,0.129,-0.029,-1.526,-0.732,-0.671
0.999,0.129,-0.027,-1.77,-0.732,-0.305
0.999,0.127,-0.026,-1.953,-0.854,0.061
0.997,0.127,-0.025,-1.892,-0.977,0.549
0.997,0.126,-0.024,-1.526,-1.221,1.099
0.999,0.124,-0.024,-1.343,-1.709,1.587
0.999,0.123,-0.021,-0.977,-2.075,2.136
0.999,0.125,-0.02,-0.671,-2.502,2.563
0.995,0.126,-0.019,-0.549,-2.93,2.686
0.995,0.129,-0.017,-0.305,-3.235,3.174
0.996,0.129,-0.018,0,-3.418,3.296
0.995,0.131,-0.016,0.061,-3.54,3.54
0.993,0.13,-0.015,0.183,-3.54,3.723
0.997,0.133,-0.016,-0.122,-3.479,3.784
1.001,0.134,-0.017,-0.305,-3.235,3.906
1.003,0.137,-0.016,-0.61,-2.869,4.211
1.004,0.138,-0.013,-0.732,-2.502,4.517
1.006,0.141,-0.014,-0.854,-2.197,4.456
1.007,0.146,-0.016,-1.038,-1.892,4.456
1.003,0.148,-0.017,-1.282,-1.587,4.333
1.006,0.148,-0.017,-1.221,-0.977,4.272
1.011,0.148,-0.018,-1.282,-0.793,4.333
1.012,0.149,-0.02,-1.099,-0.488,4.333
1.006,0.146,-0.018,-0.977,-0.061,4.333
1,0.141,-0.013,-1.221,0.488,4.272
0.994,0.137,-0.01,-1.526,0.671,4.15
0.994,0.139,-0.013,-1.709,0.61,3.845
1.001,0.14,-0.016,-2.014,0.488,3.235
1.004,0.139,-0.018,-1.892,0.427,2.686
1.004,0.142,-0.019,-1.404,0.549,2.563
1.008,0.144,-0.021,-0.732,0.549,2.625
1.009,0.146,-0.026,0.488,0.488,2.747
1.008,0.147,-0.028,1.282,0.977,2.747
1.001,0.147,-0.026,1.709,1.465,2.93
0.995,0.146,-0.025,2.075,1.892,2.991
0.99,0.144,-0.023,2.197,2.258,3.113
0.986,0.143,-0.021,2.197,2.441,3.357
0.985,0.144,-0.021,2.136,2.258,3.418
0.985,0.146,-0.023,1.892,1.709,3.235
0.985,0.151,-0.024,1.892,1.526,3.113
0.986,0.156,-0.028,1.831,1.16,2.625
0.99,0.155,-0.03,1.648,1.221,2.258
0.993,0.154,-0.029,1.465,1.16,2.014
0.992,0.156,-0.029,1.343,1.099,1.77
0.99,0.155,-0.028,1.16,1.038,1.526
0.991,0.155,-0.027,0.732,0.977,1.587
0.99,0.155,-0.026,0.366,0.793,1.526
0.991,0.154,-0.026,0.183,0.366,1.526
0.998,0.152,-0.026,-0.061,0.061,2.014
1.001,0.153,-0.029,-0.183,-0.244,2.258
1.004,0.153,-0.033,-0.305,-0.366,2.502
1.004,0.155,-0.034,-0.366,-0.122,2.869
1,0.155,-0.031,-0.488,0.244,3.235
0.994,0.152,-0.028,-0.61,0.671,3.723
0.997,0.15,-0.028,-0.305,0.793,4.211
0.997,0.151,-0.027,-0.305,0.549,4.517
0.996,0.156,-0.029,-0.244,0.244,4.761
0.995,0.159,-0.029,-0.183,0.061,4.883
0.996,0.16,-0.03,0.183,-0.183,5.005
0.992,0.166,-0.032,0.305,-0.366,5.066
0.993,0.168,-0.034,0.427,-0.305,5.066
0.995,0.17,-0.032,0.488,0,5.31
0.898,0.65,-0.026,-9.644,-4.761,-153.32
0.95,0.624,-0.026,-4.883,-3.235,-156.677
1.009,0.586,-0.019,1.343,-2.625,-155.029
1.044,0.557,0,7.69,-1.77,-148.254
1.033,0.474,0.016,11.719,-0.61,-135.559
1.021,0.41,0.035,13.55,0.366,-122.192
1.022,0.363,0.029,13.123,1.404,-107.971
1.025,0.312,0.046,11.536,2.38,-93.262
1.053,0.296,0.052,11.902,0.977,-77.515
1.069,0.248,0.027,8.667,-2.441,-60.608
1.074,0.197,-0.009,3.113,-3.479,-45.532
1.069,0.135,-0.007,0.366,-1.038,-32.715
1.045,0.073,-0.017,-1.526,1.648,-24.963
1.02,0.081,-0.018,-3.357,4.639,-23.132
0.967,-0.018,-0.039,-5.127,8.118,-24.536
0.956,0.063,-0.045,-4.578,13.123,-34.851
0.985,0.188,-0.013,-3.296,18.372,-39.368
0.989,0.24,0.001,-3.906,18.799,-30.823
0.98,0.186,0,-3.54,13.733,-14.832
0.929,0.089,-0.03,-3.54,8.789,-5.737
0.924,0.095,-0.039,-1.587,7.812,-7.446
0.935,0.098,-0.036,-0.793,9.521,-10.864
0.936,0.096,-0.021,0.427,10.376,-13.245
0.927,0.095,-0.024,1.221,9.094,-15.808
0.934,0.115,-0.039,1.404,7.69,-17.822
0.952,0.131,-0.045,1.465,7.874,-17.883
0.966,0.143,-0.036,1.648,8.606,-16.602
0.976,0.154,-0.028,1.404,8.362,-14.648
0.988,0.163,-0.027,0.671,6.531,-12.085
0.998,0.17,-0.03,0.488,4.333,-8.728
1.005,0.169,-0.031,0.427,2.93,-5.188
1.009,0.166,-0.03,0.366,2.136,-2.075
1.013,0.158,-0.03,0.366,1.343,0.549
1.015,0.151,-0.031,0.183,0.61,2.319
1.013,0.145,-0.033,0.244,0.366,3.235
1.011,0.138,-0.03,0.549,0.61,3.357
1.013,0.135,-0.028,0.916,0.854,2.502
1.015,0.138,-0.029,1.16,0.732,1.404
1.01,0.142,-0.032,1.465,0.61,0
1.005,0.146,-0.034,1.465,0.549,-1.221
1.005,0.151,-0.036,1.77,0.549,-1.892
1.006,0.156,-0.038,1.831,0.549,-2.319
1.01,0.16,-0.041,1.648,0.549,-2.075
1.011,0.161,-0.041,1.404,0.61,-1.587
1.009,0.159,-0.042,1.099,0.732,-0.366
1.007,0.152,-0.043,0.793,0.61,1.038
1.001,0.146,-0.042,0.305,0.793,2.136
0.992,0.142,-0.045,-0.305,0.854,2.625
0.987,0.139,-0.048,-0.977,1.16,2.441
0.986,0.135,-0.05,-1.648,1.587,1.648
0.988,0.134,-0.05,-1.709,1.831,0.671
0.987,0.136,-0.049,-1.526,2.136,-0.61
0.986,0.139,-0.047,-1.16,2.258,-1.953
0.989,0.139,-0.048,-0.732,2.258,-2.808
0.99,0.14,-0.046,-0.183,2.258,-3.418
0.989,0.137,-0.044,0.244,1.953,-3.54
0.99,0.129,-0.041,0.793,1.465,-3.296
0.99,0.127,-0.042,1.038,1.038,-2.991
0.994,0.124,-0.042,1.099,0.305,-2.502
0.992,0.124,-0.041,1.221,0,-2.319
0.988,0.126,-0.041,0.977,-0.488,-2.075
0.988,0.13,-0.04,0.366,-0.61,-1.831
0.988,0.132,-0.039,0.183,-0.671,-1.526
0.99,0.134,-0.035,-0.122,-0.916,-1.404
0.991,0.137,-0.032,-0.366,-1.038,-0.916
0.991,0.14,-0.028,-0.61,-1.404,-0.61
0.995,0.145,-0.029,-0.916,-2.319,-0.183
1,0.147,-0.029,-1.038,-2.869,0.732
1.001,0.143,-0.027,-0.854,-3.54,1.953
1,0.14,-0.026,-0.916,-4.089,3.113
1,0.138,-0.028,-1.221,-4.578,4.15
