aX,aY,aZ,gX,gY,gZ
0.159,1.427,0.156,94.91,-13.245,-107.239
0.184,1.268,0.253,106.567,-15.198,-121.094
0.177,0.837,0.285,109.619,-14.893,-130.249
0.152,0.245,0.485,104.675,-14.404,-129.517
0.317,0.222,0.6,116.15,-16.113,-119.69
0.367,-0.064,0.693,130.798,-14.282,-116.089
0.441,-0.298,0.683,140.625,-13.672,-107.483
0.517,-0.196,0.487,144.592,-9.521,-93.201
0.562,-0.297,0.412,136.475,-6.653,-77.82
0.507,-0.217,0.314,141.174,-3.052,-54.626
0.629,-0.278,0.33,148.743,3.296,-29.785
0.675,-0.578,0.478,127.319,-1.587,-6.653
0.624,-0.64,0.57,73.486,-10.01,21.851
0.616,-0.476,0.616,8.911,-13.855,50.171
0.588,-0.277,0.679,-59.326,-17.09,70.557
0.519,0.016,0.823,-122.009,-16.724,85.876
0.342,0.333,0.976,-169.495,-11.047,95.825
0.251,0.57,0.911,-203.979,-4.517,103.149
0.291,0.682,0.86,-233.948,4.395,110.718
0.375,0.776,0.698,-235.779,14.526,118.225
0.396,0.85,0.554,-216.431,20.935,117.249
0.415,0.927,0.395,-183.167,25.94,110.901
0.467,0.973,0.177,-155.762,28.809,103.943
0.404,1.159,0.023,-127.747,25.94,97.534
0.341,1.39,-0.051,-97.839,17.639,85.022
0.272,1.55,-0.092,-75.623,6.775,68.481
0.192,1.816,-0.096,-49.988,-0.916,50.11
0.127,2.058,-0.067,-8.423,-1.892,26.794
0.108,2.146,-0.029,39.063,-1.831,-0.549
0.127,2.125,0.049,76.904,-6.104,-28.259
0.141,1.895,0.207,102.722,-11.047,-53.955
0.086,1.496,0.399,114.258,-14.038,-74.341
0.089,1.107,0.56,111.816,-13.977,-89.539
0.14,0.817,0.674,94.238,-12.756,-100.525
0.209,0.654,0.691,67.993,-14.893,-108.948
0.332,0.525,0.644,52.307,-18.677,-113.281
0.349,0.303,0.685,47.607,-20.874,-112.183
0.435,0.273,0.618,54.382,-20.142,-107.727
0.513,0.228,0.559,79.285,-18.127,-100.708
0.526,0.264,0.472,105.652,-15.808,-92.285
0.582,0.274,0.395,128.784,-12.268,-81.604
0.59,0.194,0.346,152.161,-8.789,-65.918
0.629,0.026,0.346,167.786,-7.324,-45.715
0.65,-0.171,0.381,153.503,-7.996,-25.146
0.634,-0.166,0.478,106.079,-12.817,-5.188
0.605,-0.052,0.551,47.668,-18.494,11.23
0.567,0.079,0.606,-4.7,-23.621,22.827
0.478,0.305,0.695,-50.354,-25.391,30.64
0.384,0.609,0.797,-81.787,-22.888,33.081
0.363,0.851,0.814,-92.59,-18.005,31.067
0.387,0.877,0.798,-90.21,-11.841,29.358
0.411,0.833,0.737,-83.557,-5.188,28.931
0.427,0.773,0.662,-72.266,-0.061,27.039
0.447,0.748,0.576,-60.73,3.113,23.621
0.468,0.773,0.517,-49.438,3.784,19.226
0.477,0.833,0.476,-38.086,3.235,14.099
0.476,0.875,0.432,-24.414,2.625,8.606
0.476,0.862,0.403,-11.353,2.136,4.517
0.483,0.884,0.387,-1.343,1.038,2.197
0.482,0.9,0.381,9.155,-0.793,-0.122
0.476,0.86,0.399,18.127,-2.686,-2.197
0.455,0.785,0.445,21.24,-4.517,-3.113
0.434,0.728,0.483,18.005,-6.165,-3.601
0.43,0.7,0.514,10.925,-7.324,-4.028
0.43,0.684,0.547,2.625,-8.423,-4.272
0.426,0.674,0.57,-5.066,-9.155,-4.456
0.427,0.662,0.577,-11.78,-9.338,-4.333
0.436,0.665,0.573,-14.587,-8.972,-4.272
0.446,0.647,0.565,-12.207,-7.812,-4.211
0.451,0.615,0.558,-7.812,-6.287,-3.479
0.451,0.594,0.551,-3.479,-5.188,-2.747
0.459,0.587,0.548,-0.122,-4.517,-1.709
0.467,0.589,0.559,2.075,-4.028,-0.244
0.462,0.598,0.567,2.747,-3.418,0.793
0.455,0.598,0.575,3.479,-2.808,1.77
0.444,0.593,0.575,4.089,-2.38,3.418
0.437,0.608,0.568,3.479,-1.587,4.578
0.438,0.631,0.562,1.831,-0.671,5.554
0.444,0.654,0.559,1.221,0.122,6.47
0.443,0.678,0.557,1.099,0.61,7.019
0.443,0.702,0.542,2.502,1.465,6.958
0.441,0.705,0.535,4.272,1.953,6.775
0.44,0.712,0.536,4.7,2.502,6.409
0.438,0.723,0.529,4.333,2.625,5.92
0.44,0.737,0.527,3.723,2.502,5.554
0.442,0.752,0.522,3.235,2.625,4.944
0.447,0.759,0.517,3.052,2.563,4.211
0.453,0.764,0.522,3.052,2.441,3.357
0.45,0.765,0.528,3.052,2.075,2.686
0.446,0.757,0.53,3.845,1.77,1.953
0.444,0.744,0.531,4.211,1.587,1.343
0.444,0.72,0.54,3.174,1.465,0.732
0.44,0.692,0.548,1.282,1.16,0.549
0.441,0.674,0.552,-0.977,1.038,0.549
0.448,0.659,0.556,-2.625,0.916,0.916
0.446,0.656,0.556,-3.479,0.793,1.282
0.442,0.658,0.549,-3.235,0.793,1.465
0.45,0.666,0.548,-2.625,1.038,1.404
0.452,0.667,0.554,-1.77,1.282,1.709
0.443,0.669,0.561,-1.709,0.854,2.319
0.434,0.672,0.562,-1.038,0.854,2.808
0.435,0.671,0.555,-0.122,0.977,2.808
0.435,0.679,0.547,0.427,0.977,2.686
0.433,0.687,0.537,0.427,0.916,2.563
0.433,0.695,0.525,0.488,0.793,2.258
0.437,0.696,0.517,0.977,0.488,1.77
0.438,0.696,0.512,1.648,0.183,1.709
0.442,0.701,0.511,2.319,-0.122,1.587
0.443,0.703,0.514,3.357,-0.549,1.099
0.444,0.697,0.521,4.395,-0.793,0.793
0.446,0.692,0.533,4.7,-0.916,0.549
0.445,0.691,0.545,4.089,-1.221,0.244
0.438,0.683,0.551,3.052,-1.038,-0.061
0.216,1.914,0.609,-88.318,-1.282,23.132
0.214,1.823,0.576,-50.232,1.038,-1.038
0.242,1.569,0.576,-1.648,4.15,-23.254
0.287,1.255,0.547,39.246,6.714,-41.687
0.297,0.97,0.512,61.401,4.7,-54.626
0.306,0.704,0.529,71.899,-0.671,-65.735
0.335,0.455,0.516,81.238,-6.042,-72.632
0.376,0.244,0.459,90.393,-12.695,-74.646
0.428,0.172,0.431,97.778,-18.616,-71.96
0.487,0.162,0.433,107.788,-20.508,-66.895
0.51,0.085,0.479,119.995,-20.264,-58.899
0.516,0.025,0.551,127.686,-21.179,-48.401
0.494,-0.009,0.59,125.61,-19.47,-35.339
0.495,-0.159,0.651,110.962,-15.503,-21.179
0.559,-0.349,0.756,78.613,-13.672,-4.883
0.549,-0.45,0.88,29.602,-19.226,12.695
0.509,-0.332,0.972,-32.288,-20.935,29.602
0.433,-0.011,1.031,-96.069,-18.921,40.283
0.358,0.367,1.043,-145.813,-13,45.105
0.364,0.558,0.998,-180.542,-5.676,47.424
0.383,0.439,0.895,-206.421,1.038,52.124
0.414,0.281,0.742,-231.628,7.996,61.401
0.45,0.361,0.589,-253.54,13.184,68.848
0.5,0.521,0.506,-259.155,15.259,70.251
0.518,0.669,0.469,-240.784,16.846,69.458
0.535,0.818,0.426,-203.369,19.714,68.237
0.513,0.953,0.361,-154.602,22.339,65.979
0.476,1.073,0.284,-106.079,24.475,63.049
0.431,1.158,0.186,-57.434,25.208,57.678
0.394,1.214,0.109,-10.62,23.499,50.354
0.367,1.253,0.084,27.405,19.714,40.222
0.348,1.287,0.104,57.251,13.428,27.039
0.309,1.351,0.16,78.491,5.615,11.902
0.29,1.388,0.234,92.224,-0.854,-3.418
0.292,1.289,0.326,97.351,-5.615,-15.869
0.301,1.135,0.423,93.994,-8.972,-23.987
0.307,0.984,0.521,84.473,-12.024,-29.724
0.319,0.857,0.621,68.054,-15.259,-34.18
0.323,0.729,0.707,49.194,-18.188,-37.354
0.299,0.541,0.749,31.494,-20.264,-40.161
0.306,0.445,0.757,17.517,-21.057,-41.321
0.354,0.433,0.742,9.888,-21.667,-41.443
0.391,0.356,0.737,8.057,-21.423,-38.757
0.425,0.382,0.729,12.756,-19.409,-33.325
0.446,0.339,0.735,22.949,-16.479,-28.381
0.472,0.402,0.698,34.302,-13.306,-23.56
0.466,0.36,0.668,44.434,-10.803,-20.02
0.46,0.364,0.647,46.814,-7.751,-14.404
0.455,0.376,0.635,43.884,-4.883,-7.629
0.463,0.395,0.614,37.048,-2.258,-2.136
0.448,0.415,0.607,22.888,-0.793,3.357
0.431,0.473,0.613,3.052,-0.488,7.996
0.42,0.542,0.61,-15.564,-0.671,10.986
0.411,0.615,0.605,-32.532,-1.587,13.062
0.404,0.693,0.603,-41.87,-1.831,13.672
0.396,0.741,0.6,-40.161,-1.465,12.756
0.397,0.782,0.596,-31.982,-0.61,11.536
0.407,0.829,0.597,-20.874,0.305,9.338
0.415,0.849,0.588,-7.202,1.099,6.042
0.417,0.839,0.575,5.371,1.404,2.38
0.419,0.83,0.566,15.991,1.709,-0.916
0.43,0.798,0.567,23.926,1.709,-3.357
0.442,0.76,0.567,26.917,1.404,-5.31
0.455,0.71,0.561,25.757,0.732,-6.714
0.455,0.66,0.562,20.264,-0.427,-7.019
0.45,0.636,0.57,10.986,-1.587,-6.653
0.446,0.632,0.578,1.587,-3.357,-6.226
0.446,0.622,0.585,-5.737,-4.333,-5.249
0.441,0.61,0.621,-12.146,-5.432,-3.845
0.426,0.605,0.655,-15.991,-5.859,-2.625
0.417,0.611,0.681,-15.32,-5.615,-1.587
0.424,0.619,0.678,-10.681,-4.333,-0.977
0.426,0.604,0.665,-3.357,-2.136,-1.038
0.427,0.565,0.651,2.686,0,-0.61
0.432,0.557,0.631,5.737,1.038,0.122
0.436,0.564,0.609,6.531,1.282,0.61
0.431,0.569,0.588,6.531,1.16,1.343
0.423,0.575,0.572,6.836,0.977,2.319
0.418,0.585,0.558,7.08,0.854,3.113
0.42,0.601,0.54,6.775,0.549,3.54
0.422,0.607,0.532,6.531,0.244,3.784
0.422,0.62,0.538,6.836,-0.305,4.456
0.419,0.635,0.565,6.531,-1.038,4.639
0.415,0.646,0.607,5.615,-2.136,5.005
0.409,0.665,0.651,4.211,-3.052,5.188
0.405,0.696,0.682,3.479,-3.601,4.761
0.399,0.708,0.699,5.005,-3.357,3.845
0.393,0.698,0.704,6.531,-2.319,2.808
0.393,0.689,0.696,6.958,-0.427,2.014
0.403,0.666,0.67,6.592,1.16,0.732
0.421,0.647,0.648,3.601,2.014,0.122
0.431,0.634,0.625,-0.854,2.197,0.122
0.439,0.636,0.606,-4.944,1.77,0.366
0.444,0.637,0.59,-7.202,1.282,0.793
0.447,0.642,0.576,-7.568,1.282,1.099
0.447,0.641,0.563,-6.897,1.16,1.526
0.444,0.646,0.566,-6.104,1.16,1.953
0.436,0.648,0.576,-5.554,0.732,2.747
0.428,0.647,0.586,-4.883,0.183,3.174
0.424,0.659,0.599,-3.967,-0.183,3.357
0.424,0.676,0.601,-1.77,-0.488,3.296
0.423,0.671,0.603,1.648,-0.427,2.686
0.419,0.66,0.615,3.418,-0.061,2.136
0.415,0.653,0.626,3.357,0.122,1.892
0.411,0.65,0.63,2.319,0.061,1.526
0.411,0.645,0.628,1.221,-0.061,1.404
0.415,0.638,0.626,0.122,0.183,1.465
0.417,0.631,0.627,-0.916,0.305,1.282
0.416,0.625,0.628,-2.014,0.305,1.526
0.414,0.633,0.621,-2.93,0.244,1.709
0.42,0.635,0.606,-2.625,0.366,1.587
0.422,0.633,0.595,-2.258,0.61,1.526
0.425,0.635,0.586,-2.075,0.732,1.648
0.422,0.64,0.584,-1.709,0.366,1.648
0.417,0.656,0.591,-1.526,0.183,1.465
0.409,0.667,0.596,-0.549,-0.488,1.282
0.404,0.664,0.602,0.427,-0.793,1.038
0.401,0.652,0.606,0.916,-0.916,0.427
0.403,0.648,0.608,0.488,-0.793,0.061
0.225,1.918,0.161,-8.179,-5.066,-5.615
0.261,1.862,0.218,43.457,-1.831,-26.001
0.269,1.534,0.326,87.83,1.587,-43.335
0.263,1.196,0.426,104.553,2.136,-55.725
0.269,0.946,0.489,99.121,-0.061,-64.209
0.307,0.731,0.515,89.966,-3.357,-69.641
0.32,0.629,0.565,78.552,-4.639,-72.021
0.345,0.663,0.619,67.505,-5.798,-73.73
0.361,0.659,0.645,63.354,-7.629,-75.378
0.37,0.565,0.669,60.852,-8.667,-75.623
0.408,0.541,0.62,62.805,-10.071,-73.242
0.44,0.382,0.591,73.303,-11.047,-68.542
0.49,0.213,0.531,88.684,-10.742,-59.998
0.527,0.142,0.553,101.379,-10.132,-49.683
0.53,0.153,0.555,104.187,-10.193,-40.71
0.502,0.19,0.579,96.619,-10.864,-31.555
0.501,0.253,0.602,85.999,-12.024,-20.63
0.501,0.249,0.623,74.646,-12.817,-10.559
0.475,0.177,0.672,57.678,-12.024,-1.038
0.447,0.195,0.748,32.654,-9.949,9.033
0.408,0.354,0.811,6.104,-7.202,16.235
0.38,0.542,0.821,-13.916,-3.357,17.639
0.383,0.67,0.796,-27.405,0.488,16.235
0.391,0.721,0.747,-33.63,3.54,15.076
0.395,0.74,0.69,-35.522,6.104,13.306
0.413,0.772,0.621,-33.936,7.385,10.559
0.434,0.779,0.57,-27.222,7.568,7.019
0.447,0.738,0.54,-20.02,6.958,4.089
0.459,0.711,0.514,-16.968,5.676,2.197
0.474,0.711,0.498,-14.832,3.479,0.366
0.484,0.727,0.489,-12.939,1.099,-1.282
0.483,0.74,0.488,-9.521,-1.465,-2.93
0.474,0.724,0.507,-5.066,-3.723,-4.089
0.465,0.702,0.54,-0.854,-5.127,-4.517
0.457,0.67,0.579,3.113,-6.165,-4.517
0.453,0.632,0.617,4.517,-6.897,-4.395
0.449,0.612,0.64,4.7,-7.263,-4.272
0.447,0.597,0.659,3.845,-7.629,-4.028
