aX,aY,aZ,gX,gY,gZ
-0.366,-0.313,1.578,29.602,36.926,14.16
-0.319,-0.381,1.546,37.659,46.631,20.142
-0.299,-0.419,1.51,44.922,52.979,26.001
-0.298,-0.435,1.471,50.354,61.096,30.945
-0.269,-0.434,1.43,53.955,72.815,35.767
-0.215,-0.456,1.428,55.481,86.182,41.687
-0.167,-0.463,1.407,54.993,99.854,47.729
-0.132,-0.455,1.366,57.617,111.938,54.749
-0.11,-0.461,1.317,65.491,121.338,62.805
-0.099,-0.428,1.253,77.026,126.831,70.801
-0.075,-0.361,1.191,91.431,131.042,77.942
-0.052,-0.328,1.115,107.788,133.789,84.045
-0.039,-0.351,0.989,124.329,136.353,90.454
0.031,-0.398,0.874,133.179,137.939,98.389
0.079,-0.429,0.745,134.094,132.996,105.408
0.125,-0.444,0.626,131.104,127.747,112.61
0.167,-0.416,0.513,127.686,120.544,119.324
0.204,-0.377,0.437,126.648,110.962,124.817
0.231,-0.368,0.413,124.512,99.365,129.333
0.25,-0.387,0.464,123.291,87.83,133.057
0.25,-0.421,0.55,122.192,77.209,135.681
0.245,-0.425,0.603,123.413,68.359,136.78
0.247,-0.397,0.629,121.155,59.875,136.841
0.24,-0.378,0.637,114.563,50.659,135.193
0.232,-0.38,0.602,101.013,42.419,133.484
0.242,-0.388,0.528,82.031,35.645,131.226
0.258,-0.371,0.485,63.354,29.114,128.967
0.248,-0.282,0.453,52.246,23.071,126.831
0.25,-0.206,0.461,47.241,17.761,123.84
0.248,-0.173,0.502,44.678,11.597,120.239
0.258,-0.154,0.571,45.837,7.08,115.967
0.269,-0.139,0.643,51.392,4.333,110.352
0.276,-0.176,0.692,57.068,2.38,103.882
0.29,-0.244,0.71,61.035,0.916,97.961
0.305,-0.301,0.705,60.364,-0.549,92.285
0.322,-0.333,0.685,53.65,-2.441,85.999
0.333,-0.319,0.674,43.762,-5.066,79.529
0.339,-0.295,0.684,33.447,-7.996,73.608
0.322,-0.238,0.71,25.94,-9.705,67.993
0.319,-0.195,0.712,21.545,-10.925,62.988
0.34,-0.213,0.727,20.325,-10.132,58.716
0.358,-0.273,0.733,21.973,-10.132,55.237
0.368,-0.337,0.762,22.705,-10.315,51.27
0.369,-0.376,0.814,20.813,-9.888,46.814
0.372,-0.348,0.842,21.057,-9.399,41.87
0.382,-0.324,0.827,24.963,-9.033,36.865
0.387,-0.353,0.793,30.09,-8.606,32.715
0.397,-0.394,0.786,33.569,-8.118,29.663
0.414,-0.451,0.782,33.752,-7.08,26.55
0.427,-0.495,0.788,30.762,-6.165,24.475
0.441,-0.516,0.77,23.804,-6.165,22.339
0.45,-0.519,0.756,14.282,-6.47,20.203
0.447,-0.518,0.773,4.211,-7.507,18.616
0.446,-0.514,0.815,-5.981,-8.423,17.151
0.441,-0.51,0.83,-14.587,-8.301,16.113
0.434,-0.505,0.826,-18.005,-7.446,16.296
0.444,-0.477,0.812,-17.7,-6.042,16.724
0.464,-0.477,0.783,-16.296,-4.639,15.808
0.479,-0.48,0.749,-13.367,-4.089,15.503
0.492,-0.485,0.76,-10.986,-4.089,15.137
0.488,-0.46,0.784,-10.315,-4.456,14.099
0.48,-0.421,0.799,-10.132,-4.7,12.756
0.48,-0.376,0.806,-7.568,-4.517,12.207
0.476,-0.365,0.817,-3.296,-4.211,11.841
0.466,-0.373,0.833,1.221,-3.845,11.292
0.462,-0.385,0.848,4.761,-2.93,10.559
0.463,-0.409,0.823,8.85,-1.465,10.254
0.476,-0.419,0.788,11.902,0,10.193
0.494,-0.451,0.758,11.902,0.61,10.132
0.492,-0.481,0.795,9.888,1.404,10.62
0.502,-0.389,0.817,10.742,3.235,10.498
0.498,-0.397,0.811,13.062,3.906,8.911
0.493,-0.449,0.776,16.052,3.357,9.521
0.501,-0.484,0.747,14.648,2.686,9.46
0.508,-0.466,0.723,7.935,2.197,8.118
0.511,-0.434,0.716,0.977,1.099,7.507
0.495,-0.424,0.714,-4.333,-0.977,6.592
0.492,-0.405,0.687,-7.202,-2.441,6.165
0.491,-0.391,0.677,-9.521,-3.601,5.31
0.49,-0.361,0.692,-8.789,-4.089,4.333
0.476,-0.361,0.739,-5.249,-4.578,4.15
0.464,-0.384,0.79,0.122,-4.822,3.601
0.451,-0.395,0.814,5.188,-4.395,3.235
0.45,-0.416,0.805,8.972,-4.15,2.563
0.453,-0.433,0.787,10.376,-4.028,2.258
0.464,-0.457,0.788,9.644,-3.906,1.404
0.477,-0.473,0.79,6.226,-4.395,0.488
0.464,-0.48,0.763,2.808,-5.92,1.221
0.466,-0.479,0.773,-1.953,-6.287,1.587
0.473,-0.454,0.782,-5.92,-6.287,2.38
0.473,-0.441,0.797,-5.188,-5.737,3.601
0.467,-0.428,0.822,-2.258,-4.517,4.883
0.465,-0.42,0.831,0.732,-3.296,4.883
0.465,-0.449,0.819,2.319,-1.953,4.456
0.47,-0.468,0.816,2.93,-0.366,4.639
0.472,-0.463,0.817,1.892,0.61,4.883
0.475,-0.462,0.816,-0.61,0.916,5.066
0.473,-0.458,0.803,-2.808,1.282,5.31
0.467,-0.444,0.774,-5.432,1.587,5.432
0.463,-0.416,0.738,-6.714,2.197,5.737
0.477,-0.42,0.724,-7.568,2.991,5.493
0.487,-0.444,0.729,-8.301,3.052,5.615
0.486,-0.445,0.741,-8.118,2.502,5.92
0.487,-0.407,0.749,-7.141,2.258,5.554
0.485,-0.375,0.754,-4.761,1.648,4.517
0.479,-0.378,0.762,-2.258,0.671,3.479
0.473,-0.391,0.773,-1.16,0.366,2.075
0.465,-0.397,0.766,-1.709,0.305,0.793
0.459,-0.392,0.764,-2.563,0.244,-0.244
0.462,-0.385,0.767,-3.479,0.366,-1.221
0.462,-0.396,0.745,-4.333,0.427,-2.258
0.462,-0.413,0.745,-4.578,0.427,-2.563
0.467,-0.396,0.745,-2.808,0.793,-2.625
0.478,-0.417,0.74,0.305,0.549,-2.93
0.481,-0.459,0.742,3.418,0.183,-2.991
0.479,-0.477,0.751,4.272,-0.122,-2.93
0.475,-0.478,0.757,3.418,-0.305,-2.747
0.472,-0.48,0.767,2.319,-0.549,-2.319
-0.225,-0.37,1.455,25.452,56.946,18.127
-0.197,-0.404,1.463,20.264,69.275,22.4
-0.171,-0.416,1.474,16.357,78.796,28.564
-0.163,-0.4,1.461,16.968,86.853,34.607
-0.132,-0.371,1.406,21.24,95.459,39.246
-0.094,-0.371,1.351,27.71,101.929,44.678
-0.086,-0.382,1.292,38.208,106.75,52.185
-0.073,-0.388,1.222,48.95,111.633,59.875
-0.052,-0.401,1.186,59.387,115.845,66.406
-0.044,-0.419,1.164,71.411,119.873,74.158
-0.047,-0.43,1.151,85.876,124.023,82.764
-0.045,-0.433,1.115,99.976,127.93,91.064
