aX,aY,aZ,gX,gY,gZ
0.838,0.545,-0.022,10.01,5.737,5.371
0.823,0.581,-0.014,8.667,4.761,4.883
0.845,0.591,-0.02,5.615,1.77,4.211
0.832,0.6,-0.026,5.371,-0.732,4.639
0.831,0.614,-0.02,6.348,-2.258,5.371
0.824,0.609,-0.012,5.615,-2.625,5.432
0.786,0.572,-0.007,1.648,-4.211,4.761
0.769,0.523,-0.013,1.526,-6.592,4.517
0.795,0.525,-0.019,1.953,-7.69,3.967
0.785,0.564,-0.06,1.282,-8.423,2.136
0.783,0.575,-0.068,4.395,-7.629,0.671
0.8,0.573,-0.035,7.019,-4.089,-0.244
0.812,0.57,-0.032,5.005,-0.854,-1.526
0.803,0.577,-0.036,3.174,-0.061,-1.892
0.814,0.578,-0.032,2.38,1.404,-1.831
0.821,0.58,-0.031,0.122,3.662,-1.831
0.823,0.586,-0.029,-1.709,5.249,-1.343
0.818,0.586,-0.017,-2.625,5.371,-0.61
0.818,0.59,-0.021,-2.869,3.723,0.183
0.818,0.593,-0.034,-2.563,1.709,1.648
0.818,0.589,-0.038,-1.648,0.793,3.235
0.811,0.585,-0.042,-0.671,0,4.517
0.808,0.581,-0.045,-0.183,-0.427,5.005
0.809,0.577,-0.046,-0.305,0,4.761
0.813,0.577,-0.044,-1.099,1.099,3.723
0.807,0.576,-0.046,-1.709,2.197,2.686
0.806,0.572,-0.046,-1.465,2.808,1.892
0.806,0.568,-0.044,-1.282,2.93,0.793
0.803,0.57,-0.043,-1.099,2.869,-0.183
0.802,0.57,-0.042,-1.038,2.563,-0.793
0.803,0.575,-0.044,-0.671,2.136,-1.404
0.806,0.58,-0.045,-0.061,1.526,-1.648
0.808,0.581,-0.043,0.549,1.099,-1.404
0.81,0.582,-0.041,0.977,0.488,-1.038
0.812,0.585,-0.04,1.16,-0.305,-0.549
0.814,0.585,-0.041,1.221,-1.038,-0.122
0.814,0.583,-0.042,1.099,-1.343,0.122
0.815,0.585,-0.041,1.282,-1.099,0.183
0.817,0.585,-0.04,1.282,-0.977,0.366
0.822,0.584,-0.038,0.793,-0.854,0.366
0.82,0.584,-0.038,0.305,-0.977,0.488
0.814,0.582,-0.038,0,-0.977,0.61
0.814,0.582,-0.037,0,-0.916,0.61
0.813,0.582,-0.038,0.122,-0.732,0.549
0.811,0.58,-0.038,-0.183,-0.732,0.244
0.808,0.582,-0.037,-0.366,-0.793,-0.061
0.81,0.58,-0.037,-0.549,-0.977,0
0.809,0.575,-0.039,-0.793,-0.977,0
