aX,aY,aZ,gX,gY,gZ
0.233,-0.198,1.138,-31.25,25.818,18.066
0.192,-0.057,1.044,-49.805,21.545,19.409
0.116,-0.232,0.897,-59.143,22.644,18.738
0.18,-0.205,0.747,-61.646,26.55,20.02
0.163,-0.046,0.654,-58.044,23.56,20.264
0.177,0.006,0.607,-45.837,21.667,16.968
0.175,0.04,0.622,-31.189,17.029,13.794
0.168,0.079,0.674,-18.921,10.986,10.559
0.178,0.079,0.741,-9.094,5.127,7.507
0.182,0.025,0.847,-2.319,-0.671,4.639
0.173,-0.02,0.934,1.465,-6.409,1.709
0.173,-0.026,0.91,2.38,-10.925,-0.427
0.164,-0.054,0.909,0.061,-15.015,-2.014
0.189,-0.093,0.984,-2.319,-17.639,-3.113
0.173,-0.186,1.057,-6.226,-16.663,1.587
0.2,-0.247,1.142,-15.442,-12.756,2.258
0.168,-0.333,1.216,-30.273,-5.92,7.446
0.192,-0.271,1.146,-42.969,0.427,12.207
0.279,-0.007,0.991,-56.396,2.747,14.16
0.347,0.013,0.915,-46.753,3.906,13
0.169,0.007,0.841,-42.297,-1.709,9.644
0.113,0.15,0.797,-39.551,-6.165,5.554
0.144,0.208,0.864,-31.982,-3.357,0.854
0.148,0.027,0.946,-23.01,-1.892,-0.244
0.174,0.041,1.015,-23.132,-0.061,0.305
0.185,0.041,1.06,-24.109,0.366,-1.953
0.181,0.076,1.085,-26.306,1.099,-4.639
0.177,0.157,1.067,-23.987,1.465,-7.202
0.149,0.137,1.043,-15.442,3.357,-8.423
0.195,0.041,0.915,-3.418,6.531,-7.629
0.204,-0.057,0.9,9.155,7.141,-6.348
0.199,-0.072,0.901,18.982,7.08,-6.042
0.193,-0.067,0.899,22.217,5.432,-6.165
0.188,-0.074,0.89,23.926,3.113,-5.432
0.168,-0.05,0.946,21.423,1.282,-5.981
0.148,-0.029,1.042,16.174,0.488,-6.348
0.141,-0.024,1.044,9.338,1.038,-6.653
0.136,0.018,1.005,2.563,0.732,-7.812
0.152,0.054,0.937,-0.061,-0.488,-9.888
