aX,aY,aZ,gX,gY,gZ
0.265,-1.133,0.548,143.066,28.687,81.787
0.282,-1.094,0.529,142.395,28.442,86.426
0.291,-1.062,0.499,142.09,27.222,90.271
0.305,-1.058,0.461,140.808,25.269,93.445
0.333,-1.075,0.422,136.902,21.851,95.52
0.357,-1.058,0.377,130.249,17.151,97.534
0.36,-1.024,0.35,121.643,11.047,99.121
0.359,-0.993,0.346,112.488,4.7,99.487
0.36,-0.965,0.336,103.699,-1.16,98.45
0.354,-0.921,0.313,99.121,-5.127,97.595
0.352,-0.907,0.31,98.267,-7.69,97.168
0.361,-0.922,0.299,95.52,-10.864,95.276
0.368,-0.925,0.283,89.417,-15.015,92.773
0.368,-0.899,0.273,80.75,-19.348,91.431
0.362,-0.846,0.283,72.266,-23.499,89.6
0.358,-0.809,0.258,69.885,-26.611,86.914
0.35,-0.816,0.259,67.627,-29.053,83.74
0.349,-0.82,0.253,62.256,-31.433,80.505
0.362,-0.813,0.236,54.138,-33.936,77.209
0.348,-0.79,0.254,45.41,-36.682,73.914
0.327,-0.773,0.278,40.039,-38.391,70.313
0.335,-0.775,0.292,36.682,-38.635,67.261
0.316,-0.756,0.292,34.18,-38.391,63.904
0.318,-0.744,0.275,33.203,-37.903,61.035
0.33,-0.739,0.265,30.64,-37.17,58.411
0.337,-0.729,0.258,26.428,-36.316,55.664
0.351,-0.734,0.251,21.973,-35.4,52.917
0.37,-0.736,0.238,18.188,-34.546,49.988
0.374,-0.728,0.249,15.32,-33.752,46.875
0.375,-0.703,0.262,13.123,-33.081,43.457
0.378,-0.699,0.262,12.146,-31.86,40.161
0.385,-0.707,0.266,11.719,-30.457,37.292
0.392,-0.704,0.265,9.766,-28.87,34.424
0.403,-0.699,0.267,6.714,-27.1,31.677
0.418,-0.701,0.271,4.883,-25.33,28.931
0.432,-0.7,0.263,3.296,-23.743,25.94
0.448,-0.697,0.264,1.953,-22.522,22.827
0.463,-0.7,0.271,2.136,-21.79,19.653
0.466,-0.71,0.269,3.418,-20.386,16.113
0.466,-0.732,0.281,4.211,-18.616,13.55
0.474,-0.754,0.3,4.639,-16.907,11.414
0.482,-0.77,0.314,4.395,-15.015,9.46
0.481,-0.762,0.33,4.456,-13,7.874
0.48,-0.776,0.335,7.202,-10.803,6.531
0.482,-0.772,0.322,9.521,-8.545,4.944
0.489,-0.766,0.28,12.146,-6.287,4.15
0.501,-0.774,0.264,13.672,-4.395,3.601
0.496,-0.77,0.262,14.038,-2.869,3.235
0.53,-0.801,0.258,14.465,-1.648,3.967
0.532,-0.814,0.268,12.817,-1.343,1.892
0.533,-0.835,0.271,10.193,-1.16,0.793
0.542,-0.853,0.267,6.104,-1.16,0.916
0.53,-0.819,0.276,0.488,-1.465,0
0.525,-0.809,0.29,-3.052,-1.953,-0.61
0.519,-0.809,0.294,-2.808,-1.709,-0.977
0.514,-0.82,0.29,0.244,-0.549,-1.16
0.51,-0.818,0.269,3.54,0.427,-0.977
0.513,-0.835,0.243,7.812,1.465,-0.488
0.506,-0.861,0.227,9.705,2.625,0
0.521,-0.876,0.217,7.996,3.479,1.587
0.536,-0.895,0.213,3.967,3.174,2.38
0.53,-0.881,0.222,-1.16,2.319,1.953
0.527,-0.863,0.235,-3.906,1.404,1.953
0.524,-0.853,0.24,-4.211,0.977,2.136
0.519,-0.841,0.24,-3.601,0.549,2.258
0.516,-0.821,0.244,-2.319,0.122,2.625
0.518,-0.816,0.223,0.61,0,2.441
0.523,-0.831,0.197,3.54,0.366,2.441
0.53,-0.843,0.184,3.601,0.549,2.502
0.532,-0.851,0.194,2.319,0.305,2.625
0.527,-0.848,0.209,1.099,-0.244,2.563
0.524,-0.839,0.222,0.122,-0.916,2.441
0.526,-0.834,0.232,-0.427,-1.282,1.953
0.523,-0.83,0.233,0,-1.587,1.953
0.52,-0.823,0.234,0.366,-1.465,1.648
0.525,-0.829,0.238,0.305,-1.465,0.977
0.522,-0.828,0.234,0.732,-1.465,0.488
0.518,-0.826,0.218,4.211,-0.977,0.122
0.511,-0.833,0.197,6.348,-0.854,0.122
0.51,-0.85,0.199,6.653,-0.793,0.427
0.515,-0.87,0.201,5.615,-0.427,0.671
0.52,-0.869,0.206,4.089,-0.366,1.099
0.518,-0.864,0.215,3.479,-0.732,1.343
0.509,-0.863,0.214,3.845,-1.16,1.404
0.507,-0.863,0.214,3.601,-1.16,1.587
0.506,-0.862,0.212,3.235,-1.404,1.892
0.506,-0.852,0.214,2.319,-1.587,2.502
0.509,-0.845,0.21,3.052,-1.282,3.174
0.511,-0.845,0.214,3.723,-0.916,3.479
0.52,-0.855,0.221,3.906,-0.549,4.089
0.527,-0.857,0.223,3.54,-0.061,4.456
0.523,-0.859,0.216,3.235,0.427,4.517
0.523,-0.867,0.204,2.808,0.671,4.822
0.518,-0.865,0.21,1.587,0.488,5.432
0.513,-0.87,0.226,0.916,0.427,5.798
0.506,-0.84,0.218,0.427,0.671,5.432
0.515,-0.86,0.203,0.61,0.366,4.578
0.523,-0.872,0.213,0.122,0.427,4.639
0.525,-0.867,0.219,-0.977,0.488,4.7
0.523,-0.86,0.22,-1.099,0.305,4.333
0.518,-0.862,0.222,-0.732,0.488,4.15
0.525,-0.863,0.214,-0.366,0.977,4.333
0.537,-0.868,0.21,0.366,1.587,4.089
0.522,-0.866,0.203,0.793,1.953,3.296
0.515,-0.881,0.195,0.977,2.136,2.747
0.528,-0.898,0.196,0.793,1.892,2.38
0.526,-0.908,0.204,-0.793,1.343,1.587
0.52,-0.904,0.227,-2.93,0.427,0.854
0.513,-0.888,0.249,-4.028,-0.488,0.671
0.503,-0.876,0.262,-4.089,-0.977,0.366
0.501,-0.869,0.264,-3.723,-0.977,0.183
0.511,-0.882,0.248,-2.869,-0.793,0.549
0.523,-0.876,0.219,-2.869,-0.793,0.854
0.528,-0.869,0.207,-3.052,-1.038,1.526
0.531,-0.871,0.196,-3.845,-1.465,1.709
0.536,-0.855,0.194,-5.249,-2.014,1.892
0.536,-0.843,0.195,-5.249,-2.197,2.258
0.2,-1.236,0.638,109.375,-15.808,69.397
0.216,-1.214,0.648,106.384,-13.489,75.195
0.216,-1.162,0.658,103.333,-11.475,81.055
0.215,-1.145,0.648,100.647,-9.521,85.938
0.225,-1.119,0.628,97.229,-8.179,90.698
0.239,-1.079,0.601,91.797,-7.874,95.032
0.245,-1.034,0.56,86.426,-8.423,98.145
0.252,-0.975,0.53,83.191,-9.094,101.074
0.264,-0.944,0.522,81.848,-10.071,103.455
0.275,-0.931,0.506,79.773,-12.085,104.126
0.291,-0.89,0.473,77.82,-14.038,104.614
0.3,-0.859,0.443,77.332,-15.93,103.943
0.3,-0.831,0.423,80.505,-17.395,102.966
0.289,-0.839,0.423,84.29,-19.043,100.83
0.302,-0.868,0.417,83.374,-20.874,98.45
0.324,-0.879,0.412,77.148,-23.499,96.985
0.317,-0.843,0.398,71.167,-26.855,95.581
0.302,-0.83,0.395,67.749,-29.724,93.384
0.304,-0.822,0.402,64.331,-31.555,91.003
0.308,-0.791,0.388,62.683,-33.386,88.806
0.294,-0.768,0.38,61.035,-35.217,85.51
0.3,-0.75,0.382,59.021,-36.621,81.97
0.294,-0.721,0.373,58.289,-37.048,78.735
0.306,-0.73,0.38,57.312,-36.743,75.378
0.323,-0.75,0.364,55.725,-36.682,71.96
0.334,-0.765,0.367,50.598,-37.415,68.054
0.331,-0.755,0.368,43.213,-38.513,63.965
0.326,-0.754,0.375,36.438,-39.063,60.547
0.325,-0.734,0.402,31.738,-38.391,57.617
0.327,-0.679,0.383,32.41,-36.926,55.237
0.331,-0.684,0.36,36.865,-34.119,52.307
0.345,-0.71,0.336,40.649,-31.555,49.744
0.356,-0.737,0.326,41.016,-30.212,47.668
0.36,-0.747,0.324,38.147,-28.931,45.837
0.36,-0.737,0.337,34.424,-27.832,43.762
0.357,-0.717,0.355,31.555,-26.855,41.626
0.351,-0.697,0.363,31.25,-25.269,38.94
0.353,-0.698,0.371,31.555,-23.315,36.56
0.359,-0.708,0.369,32.776,-21.301,34.607
0.374,-0.725,0.364,32.715,-19.348,33.325
0.387,-0.73,0.349,31.86,-17.395,31.86
0.412,-0.762,0.329,29.968,-16.296,29.968
0.42,-0.772,0.306,26.184,-15.869,28.076
0.428,-0.758,0.288,23.621,-15.076,26.978
0.431,-0.747,0.284,21.24,-14.587,24.78
0.443,-0.742,0.274,19.226,-13.916,22.888
0.436,-0.725,0.265,17.212,-13.733,20.569
0.444,-0.722,0.258,15.442,-13.489,18.494
0.458,-0.744,0.258,13.123,-12.817,16.357
0.464,-0.758,0.262,8.667,-13,14.282
0.464,-0.758,0.281,3.296,-13.062,12.085
0.468,-0.745,0.295,1.099,-12.756,10.132
0.472,-0.741,0.296,1.648,-12.024,8.118
0.481,-0.75,0.29,2.502,-10.986,6.348
0.487,-0.774,0.286,3.479,-9.888,5.066
0.491,-0.786,0.275,2.625,-8.972,3.906
0.495,-0.774,0.268,2.38,-8.545,3.052
0.489,-0.796,0.277,3.174,-8.179,1.892
0.483,-0.806,0.295,3.296,-7.385,0.916
0.479,-0.82,0.306,2.319,-6.653,-0.427
0.478,-0.813,0.318,1.221,-5.92,-1.16
0.48,-0.805,0.328,1.831,-5.188,-1.953
0.481,-0.817,0.339,3.296,-4.333,-2.686
0.484,-0.826,0.331,4.211,-3.357,-3.113
0.493,-0.842,0.304,5.737,-2.38,-3.113
0.497,-0.844,0.284,6.897,-1.282,-2.869
0.495,-0.854,0.283,7.935,-0.366,-2.502
0.49,-0.854,0.292,7.812,0,-2.441
0.45,-0.845,0.291,8.179,0.549,-2.136
0.501,-0.866,0.283,9.46,1.953,-0.488
0.518,-0.898,0.258,9.888,2.38,0.183
0.514,-0.899,0.25,5.371,2.014,0.183
0.518,-0.885,0.256,0.244,1.343,0.732
0.524,-0.866,0.266,-3.723,0.916,0.916
0.522,-0.845,0.281,-5.005,0.549,0.916
0.516,-0.84,0.286,-2.93,0.122,0.732
0.51,-0.844,0.29,-0.305,0.183,0.549
0.512,-0.84,0.287,1.77,0.488,0.61
0.514,-0.846,0.285,3.052,0.671,0.549
0.514,-0.858,0.275,3.845,0.671,0.061
0.518,-0.866,0.255,3.235,0.427,-0.122
0.522,-0.865,0.246,1.221,-0.061,0.061
0.522,-0.853,0.237,-1.16,-0.732,0.488
0.52,-0.857,0.236,-2.93,-0.977,0.732
0.522,-0.848,0.248,-4.456,-1.16,1.16
0.517,-0.831,0.278,-4.578,-1.709,1.099
0.505,-0.825,0.287,-1.16,-1.831,0.305
0.497,-0.837,0.277,3.235,-1.77,-0.427
0.497,-0.857,0.265,5.31,-1.465,-0.366
0.499,-0.866,0.252,4.028,-1.282,0.366
0.502,-0.864,0.244,1.587,-1.099,1.221
0.502,-0.848,0.253,0.793,-1.343,2.38
0.5,-0.847,0.265,1.465,-1.831,2.686
0.498,-0.844,0.276,2.014,-1.892,3.052
0.498,-0.837,0.279,2.502,-1.526,3.174
0.498,-0.845,0.274,3.052,-0.977,3.113
0.503,-0.853,0.27,2.197,-0.427,3.784
