aX,aY,aZ,gX,gY,gZ
0.335,-0.674,0.923,-68.115,3.174,41.809
0.343,-0.653,0.917,-69.031,4.333,43.701
0.348,-0.634,0.906,-70.618,4.395,45.227
0.341,-0.631,0.9,-73.12,4.272,46.692
0.337,-0.615,0.896,-76.599,4.089,48.218
0.34,-0.577,0.89,-79.773,4.028,49.561
0.337,-0.547,0.889,-79.407,4.395,51.453
0.336,-0.538,0.902,-77.209,5.615,53.101
0.334,-0.522,0.9,-73.364,6.836,54.688
0.345,-0.498,0.893,-70.801,7.935,55.542
0.356,-0.454,0.881,-70.618,8.423,55.664
0.352,-0.428,0.867,-70.007,8.057,55.969
0.349,-0.43,0.855,-67.566,7.874,56.396
0.355,-0.433,0.85,-67.078,8.362,57.19
0.355,-0.407,0.837,-68.542,7.935,57.678
0.35,-0.373,0.833,-70.801,7.263,57.373
0.349,-0.342,0.841,-72.205,6.653,56.824
0.343,-0.32,0.842,-71.716,6.348,56.885
0.345,-0.292,0.83,-69.153,6.592,57.312
0.333,-0.27,0.819,-65.063,6.897,57.8
0.326,-0.254,0.806,-61.89,7.751,58.716
0.326,-0.247,0.795,-60.913,8.972,59.387
0.322,-0.22,0.789,-61.523,9.766,59.204
0.322,-0.201,0.775,-61.279,10.071,57.861
0.332,-0.184,0.763,-60.913,9.583,55.725
0.318,-0.17,0.772,-58.655,8.301,54.321
0.309,-0.167,0.791,-55.359,8.301,53.528
0.32,-0.154,0.792,-52.612,8.911,52.673
0.329,-0.148,0.79,-50.415,9.888,51.758
0.333,-0.137,0.796,-49.683,10.315,50.72
0.338,-0.11,0.801,-49.561,10.376,49.438
0.341,-0.104,0.808,-47.852,10.071,48.279
0.351,-0.099,0.808,-45.288,10.193,47.424
0.358,-0.088,0.798,-44.189,10.071,46.814
0.355,-0.055,0.783,-44.128,9.46,45.898
0.35,-0.057,0.779,-44.983,8.85,44.678
0.35,-0.046,0.784,-47.668,8.301,43.457
0.359,-0.039,0.791,-48.706,7.507,42.114
0.367,-0.04,0.797,-48.279,7.141,40.771
0.377,-0.029,0.804,-48.401,6.653,39.49
0.375,0.001,0.812,-47.974,6.042,38.025
0.366,0.01,0.817,-44.922,5.798,36.621
0.377,0.004,0.816,-41.931,5.981,35.034
0.387,0.024,0.817,-40.894,6.165,33.936
0.384,0.037,0.806,-39.49,5.859,32.471
0.388,0.042,0.802,-38.391,5.798,30.884
0.393,0.058,0.805,-38.513,5.371,29.48
0.394,0.062,0.801,-38.452,4.456,28.198
0.392,0.062,0.803,-37.72,4.028,26.917
0.397,0.066,0.797,-36.926,3.784,25.94
0.405,0.051,0.794,-36.621,3.235,24.963
0.407,0.055,0.801,-36.743,2.625,24.231
0.406,0.073,0.808,-35.339,2.319,23.254
0.41,0.083,0.816,-33.813,2.075,22.095
0.41,0.099,0.826,-33.569,1.77,21.057
0.404,0.105,0.829,-32.349,1.038,20.203
0.401,0.103,0.826,-30.762,0.916,19.592
0.403,0.102,0.822,-29.419,1.404,18.86
0.406,0.101,0.829,-29.236,1.587,17.883
0.402,0.113,0.838,-29.053,1.892,16.785
0.411,0.131,0.844,-27.893,2.869,15.869
0.422,0.143,0.847,-26.489,4.028,14.587
0.426,0.161,0.843,-23.865,5.066,13.367
0.436,0.178,0.84,-18.86,6.226,12.329
0.438,0.182,0.835,-12.817,7.446,11.108
0.448,0.168,0.828,-7.568,8.057,9.827
0.457,0.17,0.839,-6.165,8.24,8.667
0.454,0.154,0.848,-7.385,7.385,7.507
0.449,0.146,0.853,-8.057,6.409,7.202
0.448,0.117,0.854,-8.179,5.859,7.385
0.451,0.129,0.866,-9.46,6.226,7.629
0.444,0.154,0.878,-8.606,6.531,7.751
0.444,0.142,0.877,-5.371,7.568,8.484
0.451,0.15,0.884,-3.723,8.972,9.094
0.447,0.165,0.879,-2.014,9.827,8.789
0.455,0.156,0.869,0.61,10.498,8.484
0.463,0.148,0.865,2.014,10.803,8.179
0.463,0.129,0.868,2.991,10.315,8.24
0.465,0.115,0.88,1.709,9.705,8.179
0.471,0.119,0.875,-1.709,8.545,7.874
0.469,0.115,0.866,-6.165,7.202,7.996
0.467,0.113,0.864,-11.78,5.798,8.24
0.469,0.11,0.857,-17.639,4.272,8.423
0.47,0.117,0.854,-23.437,3.052,8.85
0.471,0.137,0.849,-27.588,1.892,8.789
0.466,0.158,0.836,-27.405,1.16,8.362
0.466,0.187,0.835,-23.804,1.038,7.935
0.461,0.207,0.835,-18.066,1.282,7.263
0.46,0.208,0.849,-12.939,1.77,6.897
0.453,0.219,0.888,-11.108,2.136,6.226
0.447,0.223,0.897,-9.949,2.686,5.92
0.455,0.224,0.884,-8.301,3.418,5.371
0.456,0.218,0.867,-6.958,4.456,4.517
0.453,0.214,0.844,-6.104,5.188,4.089
0.453,0.202,0.821,-5.249,5.493,3.479
0.459,0.188,0.814,-5.859,5.249,3.296
0.458,0.191,0.828,-6.592,4.578,2.991
0.459,0.169,0.832,-6.836,3.784,2.441
0.475,0.163,0.839,-8.118,2.991,2.563
0.472,0.173,0.855,-8.85,2.136,2.38
0.467,0.177,0.851,-8.911,1.709,2.502
0.476,0.191,0.848,-8.606,1.77,2.502
0.477,0.202,0.846,-7.568,2.014,2.258
0.48,0.207,0.841,-6.348,2.441,2.075
0.484,0.212,0.838,-5.615,2.686,2.075
0.487,0.201,0.837,-6.165,2.502,1.953
0.479,0.181,0.851,-7.751,2.014,1.526
0.474,0.17,0.855,-9.399,1.587,1.221
0.476,0.177,0.85,-10.254,1.16,1.038
0.472,0.183,0.845,-10.681,1.038,0.732
0.469,0.194,0.837,-10.132,1.099,1.038
0.474,0.204,0.837,-8.24,1.465,1.221
0.481,0.209,0.834,-6.409,1.831,1.343
0.478,0.203,0.833,-5.371,1.038,1.648
0.477,0.208,0.837,-4.639,0.549,1.648
0.298,-0.8,0.919,-17.639,-3.967,18.555
0.305,-0.785,0.928,-22.461,-3.174,21.301
0.296,-0.783,0.942,-27.771,-3.784,23.804
0.29,-0.761,0.952,-34.058,-3.54,25.818
0.299,-0.723,0.954,-39.673,-2.502,27.283
0.308,-0.68,0.924,-42.603,-0.854,28.687
0.312,-0.633,0.922,-41.565,0.732,30.945
0.29,-0.667,0.946,-36.926,3.784,34.119
0.307,-0.663,0.938,-33.203,7.996,37.537
0.308,-0.654,0.943,-30.151,10.62,39.734
0.32,-0.66,0.954,-28.625,13.428,41.26
0.332,-0.638,0.965,-27.954,15.808,41.687
0.33,-0.623,0.968,-26.184,17.212,41.565
0.336,-0.612,0.98,-24.78,19.226,41.992
0.345,-0.619,0.987,-24.353,20.752,42.725
0.359,-0.644,0.994,-25.696,22.156,44.189
0.359,-0.646,0.983,-28.625,22.095,46.143
0.367,-0.625,0.94,-33.752,21.667,47.546
0.38,-0.609,0.905,-41.382,21.057,48.462
0.371,-0.607,0.867,-50.476,18.982,49.805
0.374,-0.588,0.849,-60.669,16.357,51.025
0.35,-0.601,0.842,-71.228,13.062,53.04
0.341,-0.585,0.853,-81.116,11.414,54.688
0.349,-0.56,0.842,-87.708,10.01,57.129
0.366,-0.524,0.831,-92.773,8.545,58.777
0.359,-0.479,0.847,-97.717,6.714,60.059
